Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Isolation_Source,Lat_Lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,HOST,samp_size,ref_biomaterial,Source_material_ID
SRR11233733,WGS,200,8369200,PRJNA590225,SAMN14277191,Metagenome or environmental,3867237,NANYANG TECHNOLOGICAL UNIVERSITY,2019,public,"sra,fastq,run.zq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX7845580,Singapore,Asia,Singapore,Illumina HiSeq 2500,sputum,1.321577 N 103.849033 E,ITS_BLANK,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2020-05-01T00:00:00Z,2020-03-03T20:26:00Z,1,ABH-463,SRP230357,Homo sapiens,,,ITS
SRR11233734,WGS,200,49714800,PRJNA590225,SAMN14277190,Metagenome or environmental,20924845,NANYANG TECHNOLOGICAL UNIVERSITY,2019,public,"run.zq,fastq,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX7845579,Singapore,Asia,Singapore,Illumina HiSeq 2500,sputum,1.321577 N 103.849033 E,16S_BLANK,PAIRED,PCR,METAGENOMIC,human metagenome,ILLUMINA,2020-05-01T00:00:00Z,2020-03-03T20:26:00Z,1,ABH-511,SRP230357,Homo sapiens,,,16S
SRR12512274,WGS,502,1670993344,PRJNA590225,SAMN15897853,Metagenome or environmental,948893969,NANYANG TECHNOLOGICAL UNIVERSITY,2019-03-14,public,"sra,run.zq,fastq","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX9003050,United Kingdom,Europe,United Kingdom: Scotland,Illumina HiSeq 2500,sputum,56.464021 N 3.039161 W,MG_ TBS467,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2020-08-25T00:00:00Z,2020-08-25T05:33:00Z,1,MG_ TBS467,SRP230357,,,,
SRR12512275,WGS,502,1990276388,PRJNA590225,SAMN15897852,Metagenome or environmental,1151558108,NANYANG TECHNOLOGICAL UNIVERSITY,2019-03-13,public,"fastq,run.zq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX9003049,United Kingdom,Europe,United Kingdom: Scotland,Illumina HiSeq 2500,sputum,56.464021 N 3.039161 W,MG_ TBS466,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2020-08-25T00:00:00Z,2020-08-25T05:34:00Z,1,MG_ TBS466,SRP230357,,,,
SRR12512276,WGS,502,1900588064,PRJNA590225,SAMN15897851,Metagenome or environmental,1081207634,NANYANG TECHNOLOGICAL UNIVERSITY,2019-03-12,public,"run.zq,sra,fastq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX9003048,United Kingdom,Europe,United Kingdom: Scotland,Illumina HiSeq 2500,sputum,56.464021 N 3.039161 W,MG_ TBS461,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2020-08-25T00:00:00Z,2020-08-25T05:34:00Z,1,MG_ TBS461,SRP230357,,,,
SRR12512277,WGS,502,1963930424,PRJNA590225,SAMN15897788,Metagenome or environmental,1135251523,NANYANG TECHNOLOGICAL UNIVERSITY,2019-01-08,public,"run.zq,fastq,sra","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX9003047,Italy,Europe,Italy,Illumina HiSeq 2500,sputum,45.458941 N 9.198502 E,MG_ IT148,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2020-08-25T00:00:00Z,2020-08-25T05:37:00Z,1,MG_ IT148,SRP230357,,,,
SRR12512278,WGS,502,1577649958,PRJNA590225,SAMN15897850,Metagenome or environmental,891113160,NANYANG TECHNOLOGICAL UNIVERSITY,2019-03-11,public,"sra,run.zq,fastq","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",SRX9003046,United Kingdom,Europe,United Kingdom: Scotland,Illumina HiSeq 2500,sputum,56.464021 N 3.039161 W,MG_ TBS442,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2020-08-25T00:00:00Z,2020-08-25T05:34:00Z,1,MG_ TBS442,SRP230357,,,,
SRR12512279,WGS,502,1774235166,PRJNA590225,SAMN15897849,Metagenome or environmental,1009591650,NANYANG TECHNOLOGICAL UNIVERSITY,2019-03-10,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX9003045,United Kingdom,Europe,United Kingdom: Scotland,Illumina HiSeq 2500,sputum,56.464021 N 3.039161 W,MG_ TBS435,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2020-08-25T00:00:00Z,2020-08-25T05:34:00Z,1,MG_ TBS435,SRP230357,,,,
SRR12512280,WGS,502,1762536056,PRJNA590225,SAMN15897848,Metagenome or environmental,1000021530,NANYANG TECHNOLOGICAL UNIVERSITY,2019-03-09,public,"sra,run.zq,fastq","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX9003044,United Kingdom,Europe,United Kingdom: Scotland,Illumina HiSeq 2500,sputum,56.464021 N 3.039161 W,MG_ TBS425,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2020-08-25T00:00:00Z,2020-08-25T05:33:00Z,1,MG_ TBS425,SRP230357,,,,
SRR12512281,WGS,502,1480648498,PRJNA590225,SAMN15897847,Metagenome or environmental,859083623,NANYANG TECHNOLOGICAL UNIVERSITY,2019-03-08,public,"fastq,sra,run.zq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX9003043,United Kingdom,Europe,United Kingdom: Scotland,Illumina HiSeq 2500,sputum,56.464021 N 3.039161 W,MG_ TBS396,PAIRED,RANDOM,METAGENOMIC,metagenome,ILLUMINA,2020-08-25T00:00:00Z,2020-08-25T05:33:00Z,1,MG_ TBS396,SRP230357,,,,
