sample,run_accession,instrument_platform,fastq_1,fastq_2,fasta
sample1,SRX5286927_SRR8482190,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5286927_SRR8482190_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5286927_SRR8482190_2.fastq.gz,
sample2,SRX5286928_SRR8482189,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5286928_SRR8482189_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5286928_SRR8482189_2.fastq.gz,
sample3,SRX5286929_SRR8482188,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5286929_SRR8482188_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5286929_SRR8482188_2.fastq.gz,
sample4,SRX5286930_SRR8482187,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5286930_SRR8482187_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5286930_SRR8482187_2.fastq.gz,
sample5,SRX5286931_SRR8482186,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5286931_SRR8482186_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5286931_SRR8482186_2.fastq.gz,
sample6,SRX5286932_SRR8482185,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5286932_SRR8482185_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5286932_SRR8482185_2.fastq.gz,
sample7,SRX5286933_SRR8482184,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5286933_SRR8482184_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5286933_SRR8482184_2.fastq.gz,
sample8,SRX5286934_SRR8482183,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5286934_SRR8482183_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5286934_SRR8482183_2.fastq.gz,
sample9,SRX5286935_SRR8482182,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5286935_SRR8482182_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5286935_SRR8482182_2.fastq.gz,
sample10,SRX5286936_SRR8482181,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5286936_SRR8482181_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5286936_SRR8482181_2.fastq.gz,
sample11,SRX5286937_SRR8482180,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5286937_SRR8482180_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5286937_SRR8482180_2.fastq.gz,
sample12,SRX5286938_SRR8482179,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5286938_SRR8482179_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5286938_SRR8482179_2.fastq.gz,
sample13,SRX5286939_SRR8482178,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5286939_SRR8482178_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5286939_SRR8482178_2.fastq.gz,
sample14,SRX5286940_SRR8482177,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5286940_SRR8482177_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5286940_SRR8482177_2.fastq.gz,
sample15,SRX5286941_SRR8482176,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5286941_SRR8482176_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/cf_data/fastq/SRX5286941_SRR8482176_2.fastq.gz,
