taxonomy_id	name	rank	lineage	CF_03_pe_SRX5286929_SRR8482188_k2_db.bracken	CF_07_pe_SRX5286933_SRR8482184_k2_db.bracken	CF_01_pe_SRX5286927_SRR8482190_k2_db.bracken	CF_05_pe_SRX5286931_SRR8482186_k2_db.bracken	CF_06_pe_SRX5286932_SRR8482185_k2_db.bracken	CF_02_pe_SRX5286928_SRR8482189_k2_db.bracken	CF_04_pe_SRX5286930_SRR8482187_k2_db.bracken	CF_08_pe_SRX5286934_SRR8482183_k2_db.bracken	CF_10_pe_SRX5286936_SRR8482181_k2_db.bracken	CF_09_pe_SRX5286935_SRR8482182_k2_db.bracken	CF_15_pe_SRX5286941_SRR8482176_k2_db.bracken	CF_16_pe_SRX5286942_SRR8482175_k2_db.bracken	CF_12_pe_SRX5286938_SRR8482179_k2_db.bracken	CF_14_pe_SRX5286940_SRR8482177_k2_db.bracken	CF_13_pe_SRX5286939_SRR8482178_k2_db.bracken	CF_11_pe_SRX5286937_SRR8482180_k2_db.bracken	CF_22_pe_SRX5286948_SRR8482169_k2_db.bracken	CF_20_pe_SRX5286946_SRR8482171_k2_db.bracken	CF_19_pe_SRX5286945_SRR8482172_k2_db.bracken	CF_18_pe_SRX5286944_SRR8482152_k2_db.bracken	CF_23_pe_SRX5286949_SRR8482168_k2_db.bracken	CF_17_pe_SRX5286943_SRR8482174_k2_db.bracken	CF_28_pe_SRX5286954_SRR8482163_k2_db.bracken	CF_26_pe_SRX5286952_SRR8482165_k2_db.bracken	CF_25_pe_SRX5286951_SRR8482166_k2_db.bracken	CF_24_pe_SRX5286950_SRR8482167_k2_db.bracken	CF_21_pe_SRX5286947_SRR8482170_k2_db.bracken	CF_27_pe_SRX5286953_SRR8482164_k2_db.bracken	CF_33_pe_SRX5286959_SRR8482158_k2_db.bracken	CF_30_pe_SRX5286956_SRR8482161_k2_db.bracken	CF_34_pe_SRX5286960_SRR8482157_k2_db.bracken	CF_29_pe_SRX5286955_SRR8482162_k2_db.bracken	CF_31_pe_SRX5286957_SRR8482160_k2_db.bracken	CF_32_pe_SRX5286958_SRR8482159_k2_db.bracken	CF_39_pe_SRX5286965_SRR8482151_k2_db.bracken	CF_38_pe_SRX5286964_SRR8482153_k2_db.bracken	CF_35_pe_SRX5286961_SRR8482156_k2_db.bracken	CF_36_pe_SRX5286962_SRR8482155_k2_db.bracken	CF_40_pe_SRX5286966_SRR8482150_k2_db.bracken	CF_41_pe_SRX5286967_SRR8482149_k2_db.bracken	CF_37_pe_SRX5286963_SRR8482154_k2_db.bracken	CF_47_pe_SRX5286973_SRR8482143_k2_db.bracken	CF_42_pe_SRX5286968_SRR8482148_k2_db.bracken	CF_44_pe_SRX5286970_SRR8482146_k2_db.bracken	CF_43_pe_SRX5286969_SRR8482147_k2_db.bracken	CF_45_pe_SRX5286971_SRR8482145_k2_db.bracken	CF_46_pe_SRX5286972_SRR8482144_k2_db.bracken	CF_53_pe_SRX5286979_SRR8482137_k2_db.bracken	CF_48_pe_SRX5286974_SRR8482142_k2_db.bracken	CF_55_pe_SRX5286981_SRR8482135_k2_db.bracken	CF_54_pe_SRX5286980_SRR8482136_k2_db.bracken	CF_49_pe_SRX5286975_SRR8482141_k2_db.bracken	CF_51_pe_SRX5286977_SRR8482139_k2_db.bracken	CF_50_pe_SRX5286976_SRR8482140_k2_db.bracken	CF_52_pe_SRX5286978_SRR8482138_k2_db.bracken	CF_61_pe_SRX5286987_SRR8482129_k2_db.bracken	CF_60_pe_SRX5286986_SRR8482130_k2_db.bracken	CF_62_pe_SRX5286988_SRR8482128_k2_db.bracken	CF_57_pe_SRX5286983_SRR8482133_k2_db.bracken	CF_58_pe_SRX5286984_SRR8482132_k2_db.bracken	CF_67_pe_SRX5286993_SRR8482123_k2_db.bracken	CF_66_pe_SRX5286992_SRR8482124_k2_db.bracken	CF_70_pe_SRX5286996_SRR8482120_k2_db.bracken	CF_69_pe_SRX5286995_SRR8482121_k2_db.bracken	CF_59_pe_SRX5286985_SRR8482131_k2_db.bracken	CF_63_pe_SRX5286989_SRR8482127_k2_db.bracken	CF_72_pe_SRX5286998_SRR8482118_k2_db.bracken	CF_71_pe_SRX5286997_SRR8482119_k2_db.bracken	CF_68_pe_SRX5286994_SRR8482122_k2_db.bracken	CF_56_pe_SRX5286982_SRR8482134_k2_db.bracken	CF_73_pe_SRX5286999_SRR8482117_k2_db.bracken	CF_75_pe_SRX5287001_SRR8482115_k2_db.bracken	CF_74_pe_SRX5287000_SRR8482116_k2_db.bracken	CF_65_pe_SRX5286991_SRR8482125_k2_db.bracken	CF_76_pe_SRX5287002_SRR8482114_k2_db.bracken	CF_79_pe_SRX5287005_SRR8482173_k2_db.bracken	CF_64_pe_SRX5286990_SRR8482126_k2_db.bracken	CF_77_pe_SRX5287003_SRR8482113_k2_db.bracken	CF_78_pe_SRX5287004_SRR8482112_k2_db.bracken
287	Pseudomonas aeruginosa	species	Pseudomonas aeruginosa;Pseudomonas aeruginosa group;Pseudomonas;Pseudomonadaceae;Pseudomonadales;Gammaproteobacteria;Pseudomonadota;Bacteria;cellular organisms;root	323319	1154375	830030	162523	483689	94007	149250	322051	415660	104910	330002	120691	175072	7127	704587	17177	43833	305865	13190	298074	51044	256518	3381	681073	70999	5690	63984	215638	2677982	207197	15107	437689	315013	474712	424513	1028042	73141	282137	348345	6109	307121	335	254925	257	144501	17362	853	21973	31626	10907	11773	428734	35466	6025	85071	33359	146332	967960	105	1049219	491111	532612	30630	0	346005	266441	103142	65525	2416	75758	199937	194469	105625	402	100274	125832	1716007	39945	312650
53408	Pseudomonas citronellolis	species	Pseudomonas citronellolis;Pseudomonas aeruginosa group;Pseudomonas;Pseudomonadaceae;Pseudomonadales;Gammaproteobacteria;Pseudomonadota;Bacteria;cellular organisms;root	37	127	425	17	76	51	59	39	55	12	71	30	25	0	122	17	0	31	0	55	0	50	0	126	44	0	0	20	364	26	0	31	20	78	544	1251	0	29	54	0	31	0	32	0	14	72	0	0	0	0	0	78	0	0	13	0	19	135	0	184	34	43	0	0	25	0	17	0	0	0	22	327	182	0	23	16	247	31	21
300	Pseudomonas mendocina	species	Pseudomonas mendocina;Pseudomonas aeruginosa group;Pseudomonas;Pseudomonadaceae;Pseudomonadales;Gammaproteobacteria;Pseudomonadota;Bacteria;cellular organisms;root	27	74	74	0	49	16	0	18	41	0	18	22	0	0	77	0	0	12	0	32	17	45	0	188	27	0	0	12	301	15	0	15	29	38	25	53	0	60	30	0	42	0	50	0	23	0	0	0	13	22	30	60	0	0	0	0	0	139	0	167	21	52	14	0	15	11	0	0	0	0	18	23	0	0	18	23	103	114	345
2994495	Pseudomonas paraeruginosa	species	Pseudomonas paraeruginosa;Pseudomonas aeruginosa group;Pseudomonas;Pseudomonadaceae;Pseudomonadales;Gammaproteobacteria;Pseudomonadota;Bacteria;cellular organisms;root	82	179	2721	0	132	287	385	99	115	181	82	0	73	0	2945	0	0	103	0	68	0	127	0	331	0	0	0	0	677	0	0	55	742	136	0	132	0	105	87	0	86	0	179	0	111	0	0	0	311	134	0	1728	0	0	0	0	149	403	0	381	103	1108	0	0	56	755	0	0	0	0	52	0	0	0	82	0	378	0	1084
1149133	Pseudomonas furukawaii	species	Pseudomonas furukawaii;Pseudomonas oleovorans/pseudoalcaligenes group;Pseudomonas aeruginosa group;Pseudomonas;Pseudomonadaceae;Pseudomonadales;Gammaproteobacteria;Pseudomonadota;Bacteria;cellular organisms;root	17	41	94	0	26	0	0	11	27	0	15	0	0	0	237	0	0	25	0	14	0	10	0	37	0	0	0	12	197	10	0	17	15	31	22	40	0	16	0	0	24	0	21	0	13	0	0	0	12	0	0	111	0	0	0	0	44	61	0	83	24	45	11	0	12	0	0	0	0	0	18	12	0	0	0	0	63	36	11
43263	Pseudomonas alcaligenes	species	Pseudomonas alcaligenes;Pseudomonas aeruginosa group;Pseudomonas;Pseudomonadaceae;Pseudomonadales;Gammaproteobacteria;Pseudomonadota;Bacteria;cellular organisms;root	15	63	85	13	27	0	10	33	53	0	25	13	14	0	87	22	0	36	0	28	0	28	0	73	12	0	10	18	301	17	0	26	21	34	23	66	0	38	32	0	32	0	35	0	20	84	0	0	0	0	0	64	0	0	0	0	0	154	0	205	23	42	0	0	14	13	11	0	0	0	37	20	0	0	18	33	91	66	0
53412	Pseudomonas resinovorans	species	Pseudomonas resinovorans;Pseudomonas aeruginosa group;Pseudomonas;Pseudomonadaceae;Pseudomonadales;Gammaproteobacteria;Pseudomonadota;Bacteria;cellular organisms;root	15	42	52	12	35	0	0	11	20	0	15	0	0	0	63	0	0	19	0	10	0	0	0	50	19	0	0	0	128	10	0	18	16	22	27	61	0	0	12	0	15	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	72	0	84	29	31	0	0	0	11	0	0	0	0	0	20	16	0	0	0	49	12	0
2320270	Pseudomonas sp. DG56-2	species	Pseudomonas sp. DG56-2;unclassified Pseudomonas;Pseudomonas;Pseudomonadaceae;Pseudomonadales;Gammaproteobacteria;Pseudomonadota;Bacteria;cellular organisms;root	145	462	0	40	254	0	0	111	0	0	0	0	99	0	0	0	0	100	0	0	0	0	0	13	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0
2654238	Pseudomonas sp. DTU12.1	species	Pseudomonas sp. DTU12.1;unclassified Pseudomonas;Pseudomonas;Pseudomonadaceae;Pseudomonadales;Gammaproteobacteria;Pseudomonadota;Bacteria;cellular organisms;root	119	412	0	85	290	0	0	144	0	0	0	0	91	0	0	0	0	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2974552	Pseudomonas sp. GCEP-101	species	Pseudomonas sp. GCEP-101;unclassified Pseudomonas;Pseudomonas;Pseudomonadaceae;Pseudomonadales;Gammaproteobacteria;Pseudomonadota;Bacteria;cellular organisms;root	35	100	94	15	67	0	12	31	70	0	25	10	13	0	64	0	0	40	0	30	0	40	0	83	0	0	0	32	365	21	0	47	22	27	33	56	0	43	23	0	39	0	40	0	27	0	0	0	0	0	0	48	0	0	0	0	33	169	0	189	35	44	0	0	19	0	0	0	0	0	22	15	0	0	0	0	74	17	0
